date,hullCode,radioCode,name,owner,length,width,position
20150100,18884,,PUERTO ROSARIO,,200,,Jeddah
20150100,40904,83,OLYMPUS,Maersk,190,,Lianyungang
20150100,77854,90,PINE GALAXY,NYK Line,,,Bangkok
20150100,61583,46,,MSC,86,,Xiamen
20150100,74300,54,,OOCL,54,,Hamburg
20150100,91108,,YOUNG GLORY,MSC,206,,Singapore
20150100,,9,,Hapag-Lloyd,,,Tianjin
20150101,36564,146,,Maersk,180,,Istanbul
20150101,60303,147,FRANCISCO,,,,Istanbul
20150101,43764,148,,COSCO,,,Columbo
20150101,25837,149,,Maersk,26,,Tanjung Pelepas
20150101,98309,150,TRUFFALDINO,,,,Yokohama
20150101,89775,,SEA LYNX,CMA-CGM,,,Kaohsiung
20150101,15727,,GEO EXPLORER SURVEY,Hanjin Shipping,,,Qingdao
20150101,32223,153,ASTRO VERMELHO,Maersk,,,Long Beach
20150101,72306,,CAPE FEAR,Maersk,,,Columbo
20150101,16706,155,,CMA-CGM,183,,Ningbo
20150101,43169,156,HD27 ZUIDERHAAKS,,42,8,Yokohama
20150101,,157,STIG HARRY,,12,,Dubai
20150101,47350,158,TAURUS J,,155,,Guangzhou
20150101,99369,12,AYSE NAZ BAYRAKTAR,,156,,Shanghai
20150101,88058,73,MELBOURNE,OOCL,110,,Panama
20150101,,109,SUN BRG APP BUOY C,MSC,88,,Dubai
20150101,,106,STELLA,,,,Dalian
20150101,,,,Maersk,190,,Antwerp
20150101,14433,8,,,,,Valencia
20150101,50159,5,ALPHECCA,,,,Algeciras
20150101,,126,,Maersk,100,,São Paulo
20150101,77854,90,PINE GALAXY,,148,,Bremen
20150101,48753,51,JOHNNY K,Yang Ming Marine,,,Bangkok
20150101,63743,127,,,,,Valencia
20150101,,,,Hapag-Lloyd,100,,Manila
20150101,63801,38,GUAN HAI ZHAO YANG,,,,Algeciras
20150101,12202,136,,,,,Qingdao
20150101,36845,16,,,85,,Kaohsiung
20150101,80620,128,,,,,Columbo
20150101,74300,54,,OOCL,,,Shanghai
20150101,60118,91,POURQUOIPAS,,,,Los Angeles
20150101,66203,,,CMA-CGM,83,,Ho Chi Minh
20150101,59478,47,ICM NAUTICAL 1,Hamburg Süd,,,Guangzhou
20150101,41655,,,CMA-CGM,23,,Singapore
20150101,71784,,,CMA-CGM,84,,Jeddah
20150101,,132,,MSC,40,6,Algeciras
20150101,93150,133,SHENG XIN 9,MSC,94,,Hamburg
20150101,,97,RV DISCOVERY,,20,,Yokohama
20150101,33116,,URZELA,MSC,24,,Istanbul
20150101,54761,28,EDDA FONN,Hamburg Süd,85,,Bangkok
20150101,29891,,ALTISIGMA,,14,4,Yokohama
20150101,19378,2,ABRO,CMA-CGM,15,,Long Beach
20150101,94205,,VAALS,Maersk,110,12,Tianjin
20150101,11124,,BIG ARON,,47,,Ho Chi Minh
20150101,79284,32,FORTE,,,,Hong Kong
20150101,51108,105,SOELOEVEN,American President Lines,,,Ho Chi Minh
20150101,,110,SUNG-JIN HOA,American President Lines,,,Valencia
20150101,17538,95,RESCUE KJOPSTAD,,,,Valencia
20150101,18884,92,,Evergreen,,,Columbo
20150101,,107,STENSTRAUM,,146,,Algeciras
20150101,,53,KARAGOZLER-1,,,,Ningbo
20150101,,,LOVUND,Hapag-Lloyd,72,,Felixstowe
20150101,,21,CEST SI BON I,,16,,Tianjin
20150101,89266,76,,,135,,Mumbai
20150101,,3,,NYK Line,58,,Sharjah
20150101,,88,PENG CHENG 66,Hanjin Shipping,,,Sharjah
20150101,31522,42,HMSTC KUKRI,Maersk,,,Jakarta
20150101,,78,NAVE TITAN,American President Lines,184,,Jakarta
20150101,61507,125,,COSCO,12,,Rotterdam
20150101,75338,79,NEVERLAND DREAM,CMA-CGM,250,,Valencia
20150101,93996,121,VINCENZA GIACALONE,,28,6,Guangzhou
20150101,10933,131,ZHEGANGHANGXUN1103,Maersk,,,Tanjung Pelepas
20150101,49303,104,SIYA,,80,,Shanghai
20150101,87444,80,NIBULON 3,,,,Valencia
20150101,41143,86,PAVINO,Mitsui OSK Line,,,Ningbo
20150101,86828,,K.DADAYLI,Maersk,,,Osaka
20150102,14433,159,ANGY R,CMA-CGM,,,Yingkou
20150102,,,,Hamburg Süd,,,Lianyungang
20150102,,,LOVUND,CMA-CGM,,16,New York
20150102,,162,YOUNG GLORY,,206,,Hong Kong
20150102,,163,,China Shipping,112,,Yokohama
20150102,17538,,RESCUE KJOPSTAD,Hanjin Shipping,,10,Los Angeles
20150102,59647,165,,,23,,São Paulo
20150102,,,HOLTENAU,China Shipping,27,9,Singapore
20150102,,,,CMA-CGM,87,,Busan
20150102,75292,168,SEBASTIAN,COSCO,,,Guangzhou
20150102,35414,,,K Line,,,Singapore
20150102,,,,CMA-CGM,26,,Shanghai
20150102,81625,171,HARMONIE,,26,,Xiamen
20150102,15727,152,,,,,Columbo
20150102,16260,,GUO TOU 102,Maersk,,,Bremen
20150102,,,,,135,,Dubai
20150102,66203,145,JIANGHAITONG19,CMA-CGM,83,16,Los Angeles
20150102,40828,,SVITZER ELLERBY,OOCL,,,Istanbul
20150102,18793,59,,MSC,105,,Los Angeles
20150102,,,WEI LONG 68,,93,,New York
20150102,,107,STENSTRAUM,,146,,Valencia
20150102,60168,114,TAYMA,Maersk,,,Busan
20150102,33116,117,URZELA,MSC,,,Istanbul
20150102,79284,,FORTE,Mitsui OSK Line,91,,Jakarta
20150102,94365,97,RV DISCOVERY,COSCO,20,,New York
20150102,49303,104,SIYA,Evergreen,,,Shenzhen
20150102,48511,,NAVE TITAN,,,,Guangzhou
20150102,91536,1,AARDAL,MSC,,,Shenzhen
20150102,,155,,,,,Guangzhou
20150102,10933,131,,Maersk,97,,Istanbul
20150102,19378,2,,CMA-CGM,15,,New York
20150102,34159,122,VIVIEN A,,,30,Bangkok
20150102,12202,136,FAXI,COSCO,,,Rotterdam
20150102,,72,MARSJA,,,,Xiamen
20150102,78481,23,,,37,,Manila
20150102,54885,30,,Maersk,105,,Dalian
20150102,82240,,BAO TUO,CMA-CGM,48,,Bremen
20150102,15452,21,CEST SI BON I,OOCL,16,,Sharjah
20150102,75338,,NEVERLAND DREAM,CMA-CGM,,44,Yokohama
20150102,,,,CMA-CGM,84,,Tanjung Pelepas
20150102,82728,19,,MSC,,,Yokohama
20150102,63111,66,LU JIANG 6,,32,,Los Angeles
20150102,92924,,,China Shipping,,,Bangkok
20150102,,156,HD27 ZUIDERHAAKS,MSC,42,,Tianjin
20150102,60118,,POURQUOIPAS,,108,,Rotterdam
20150102,,135,PAGANELLA,,183,,Jakarta
20150102,62639,64,LOS LLANITOS,Maersk,,,Bremen
20150102,75345,,,K Line,34,8,Jeddah
20150102,93996,121,VINCENZA GIACALONE,Hapag-Lloyd,28,6,Ningbo
20150102,,119,,,,,Singapore
20150102,,,ALMA LIBRE TOO,MSC,17,,Algeciras
20150102,80539,82,OCEAN PIERRE JULIEN,Maersk,,,Hong Kong
20150102,63801,38,GUAN HAI ZHAO YANG,,,,Valencia
20150102,61583,46,HUGIN EXPLORER,,86,,Hamburg
20150102,93150,133,SHENG XIN 9,MSC,94,,Rotterdam
20150102,41143,86,PAVINO,Mitsui OSK Line,,,Valencia
20150102,,10,,Maersk,,,Istanbul
20150102,76173,48,ISLA-S DS1,Hamburg Süd,,,Lianyungang
20150102,,51,JOHNNY K,Yang Ming Marine,,,São Paulo
20150102,34211,,,CMA-CGM,33,,Tianjin
20150102,,6,ALREK,,100,,Long Beach
20150102,,,KPV KAPAS,COSCO,,,Qingdao
20150102,35859,88,,,,,Yokohama
20150102,,,,Yang Ming Marine,91,14,Columbo
20150102,11165,62,LINGE,MSC,28,9,Antwerp
20150102,18884,92,,,200,33,Yokohama
20150103,12202,172,,Hanjin Shipping,67,,Panama
20150103,89266,173,,,135,,Qingdao
20150103,,,ASTRO VERMELHO,CMA-CGM,66,,New York
20150103,,175,TAYMA,Evergreen,,,Busan
20150103,,176,SEBASTIAN,Maersk,45,,Ho Chi Minh
20150103,,177,,,,,Bremen
20150103,23087,,HOEGH AMERICA,Maersk,,,Bangkok
20150103,54885,179,FAIR FALCON,,,,Antwerp
20150103,26394,180,PHILIPPOS A,Hapag-Lloyd,292,,Jeddah
20150103,48753,181,,,20,,Valencia
20150103,62677,182,FRI SEA,,,,Shenzhen
20150103,,183,,MSC,190,,Columbo
20150103,41655,184,WADI MAI,American President Lines,,,Valencia
20150103,43764,148,LIVA GRETA,COSCO,65,,Mumbai
20150103,51200,,SERTANEJO SPIRIT,Hanjin Shipping,282,,Yokohama
20150103,14429,77,NAUTIC,Maersk,27,,Panama
20150103,80683,160,MISS JACQUELINE IV,Hamburg Süd,,,Dubai
20150103,91111,,RESCUE ELSA JOHANSSO,Hamburg Süd,16,,Panama
20150103,44668,,O DAEYANG 12,Hapag-Lloyd,100,,Singapore
20150103,,,TAURUS J,Maersk,,,São Paulo
20150103,61507,,,,,,Hamburg
20150103,59004,,TANG MA BO MEI,Mitsui OSK Line,,,Dalian
20150103,14433,,,CMA-CGM,,,Valencia
20150103,48511,78,NAVE TITAN,,184,,Shanghai
20150103,41143,86,,Mitsui OSK Line,,,Panama
20150103,91536,1,AARDAL,MSC,94,,Singapore
20150103,40828,,SVITZER ELLERBY,,,,Antwerp
20150103,91394,109,,MSC,,,Qingdao
20150103,50469,,ALREK,,,,Kaohsiung
20150103,,,XIN LU SHENG 3,Hamburg Süd,,,Tianjin
20150103,72533,96,RIVO,China Shipping,,,Long Beach
20150103,45212,71,MARIA STAR,,,,Long Beach
20150103,87701,10,ATLOY VIKING,Maersk,35,,Mumbai
20150103,36905,140,,,,,Hamburg
20150103,,,KONGSNES,MSC,,8,Algeciras
20150103,,133,SHENG XIN 9,,94,,Rotterdam
20150103,94205,118,VAALS,Maersk,110,,Kuala Lumpur
20150103,18793,59,,MSC,105,,Ningbo
20150103,66203,,JIANGHAITONG19,,,,Tianjin
20150103,10933,131,ZHEGANGHANGXUN1103,Maersk,97,,Panama
20150103,19378,2,ABRO,CMA-CGM,15,,Columbo
20150103,11165,62,LINGE,MSC,28,,Yingkou
20150103,98309,150,,,89,,Sharjah
20150103,16706,155,MISENO,,,,Busan
20150103,87444,80,NIBULON 3,,38,,Hamburg
20150103,35859,,,Hanjin Shipping,49,,Jeddah
20150103,25837,149,PAM LEOPARDO,Maersk,26,,Ningbo
20150103,82728,,BRIDGET CAULLEY,MSC,,,Panama
20150103,33116,117,URZELA,MSC,24,,Xiamen
20150103,17573,44,HOLMA,Maersk,40,,Shanghai
20150103,61150,,,,111,,Osaka
20150103,35414,,MACABI,K Line,,,Istanbul
20150103,,49,IZBORSK,Hapag-Lloyd,81,,Columbo
20150103,41463,,BELMAR,MSC,,,Rotterdam
20150103,70904,126,WILSON CARDIFF,,,,Valencia
20150103,,,LOVUND,CMA-CGM,,,Jakarta
20150103,18884,92,PUERTO ROSARIO,Evergreen,,,Bremen
20150103,15727,152,,Hanjin Shipping,17,5,Kuala Lumpur
20150103,92924,103,,China Shipping,,,Valencia
20150103,15452,21,,,16,4,Jakarta
20150103,,28,EDDA FONN,,,,Dubai
20150103,72306,154,CAPE FEAR,Maersk,14,4,Felixstowe
20150103,63743,,XIN HUA 803,China Shipping,,,Shanghai
20150103,73952,135,,Mitsui OSK Line,183,,Rotterdam
20150103,55140,60,LEHMANN BELT,NYK Line,91,,Istanbul
20150103,81625,171,HARMONIE,Mitsui OSK Line,26,,Lianyungang
20150104,,,STENSTRAUM,Evergreen,,,Dalian
20150104,,186,SVITZER ELLERBY,Maersk,,,Lianyungang
20150104,,187,SUNG-JIN HOA,,,,Bangkok
20150104,,188,ASTRO VERMELHO,OOCL,,,Hamburg
20150104,63743,,XIN HUA 803,MSC,,,Xiamen
20150104,94205,,VAALS,,,,Valencia
20150104,,191,FRI SEA,K Line,92,14,Lianyungang
20150104,89775,192,,CMA-CGM,,,Yingkou
20150104,,193,,,156,,Jakarta
20150104,40904,194,OLYMPUS,,190,,Shanghai
20150104,17538,195,RESCUE KJOPSTAD,Hapag-Lloyd,,,São Paulo
20150104,14433,196,,Mitsui OSK Line,,,Ho Chi Minh
20150104,12202,,FAXI,,67,,Long Beach
20150104,51108,105,SOELOEVEN,,54,,Dubai
20150104,15452,21,CEST SI BON I,OOCL,16,,Istanbul
20150104,,,PUERTO ROSARIO,Evergreen,,33,Hong Kong
20150104,82728,19,BRIDGET CAULLEY,MSC,,,Bangkok
20150104,91111,94,RESCUE ELSA JOHANSSO,Hamburg Süd,,,Xiamen
20150104,82508,132,ZWAANTJE,MSC,40,,Lianyungang
20150104,,44,HOLMA,,,,Kaohsiung
20150104,59004,112,TANG MA BO MEI,,30,,Antwerp
20150104,,,MAERSK CHICAGO,,,,Ho Chi Minh
20150104,12257,183,GEMINI,,190,,Istanbul
20150104,,,,,187,,Shenzhen
20150104,75345,,BIMA MULU,K Line,34,,Manila
20150104,48163,,,,,,Jakarta
20150104,37506,,,MSC,17,,Qingdao
20150104,48753,,JOHNNY K,,20,,Kaohsiung
20150104,50469,,ALREK,,,17,Hamburg
20150104,,64,LOS LLANITOS,Maersk,,,Dubai
20150104,,143,BIG ARON,,,,Kaohsiung
20150104,73952,,PAGANELLA,,183,,Busan
20150104,59647,165,,,,,Xiamen
20150104,18012,49,IZBORSK,Hapag-Lloyd,81,,Guangzhou
20150104,72575,106,,NYK Line,15,,Lianyungang
20150104,,175,TAYMA,Evergreen,,,Guangzhou
20150104,,2,ABRO,,15,,Mumbai
20150104,72306,,CAPE FEAR,,,,Ningbo
20150104,,,,China Shipping,120,,Singapore
20150104,58259,124,WEI LONG 68,MSC,,,Bangkok
20150104,,160,MISS JACQUELINE IV,Hamburg Süd,20,,Lianyungang
20150104,16752,24,CORSAIR,CMA-CGM,177,,Busan
20150104,71784,,EDDA FRIGG,CMA-CGM,,,Singapore
20150104,,169,MACABI,K Line,14,,Busan
20150104,50159,5,ALPHECCA,MSC,,,Yokohama
20150104,91536,1,,MSC,94,,Antwerp
20150104,11165,62,LINGE,MSC,28,,Xiamen
20150104,25819,161,,,72,,Ningbo
20150104,,13,,CMA-CGM,48,,Bangkok
20150104,54761,,EDDA FONN,Hamburg Süd,,,Tanjung Pelepas
20150104,,72,MARSJA,,110,,Hamburg
20150104,,171,HARMONIE,,26,,Mumbai
20150104,75292,176,SEBASTIAN,Maersk,,,Shanghai
20150104,86828,,K.DADAYLI,CMA-CGM,,,Manila
20150104,,166,,China Shipping,,,Columbo
20150104,94365,177,,Maersk,20,,Tanjung Pelepas
20150104,80620,128,XIN LU SHENG 3,Hamburg Süd,149,,Yingkou
20150104,79324,67,LUANDA TIDE,,,,Algeciras
20150104,,,BI YANG 6 HAO,Maersk,,,Tanjung Pelepas
20150104,,90,PINE GALAXY,NYK Line,148,,Singapore
20150104,87701,,,Maersk,,,Hamburg
20150104,,54,KMP.MARINA PRATAMA,OOCL,,,Algeciras
20150104,93150,133,SHENG XIN 9,MSC,94,,Rotterdam
20150104,,126,,Maersk,,,Singapore
20150104,,170,AURORA BOREAL,,,,Shanghai
20150104,,138,DANPILOT LODSFARTOJ4,Maersk,,,Hamburg
20150105,36564,198,FUTURE PROSPERITY,,,,Dubai
20150105,34211,199,LIAHOLM,Hapag-Lloyd,33,,Bangkok
20150105,88561,200,SAN MARCO AT,Hanjin Shipping,33,,Bangkok
20150105,,201,UK237 GRIETJE BOS,,43,,Shanghai
20150105,80683,202,MISS JACQUELINE IV,CMA-CGM,,,Hamburg
20150105,63111,203,LU JIANG 6,,32,,Los Angeles
20150105,35859,204,PENG CHENG 66,,,,Ningbo
20150105,91536,205,AARDAL,MSC,94,,Columbo
20150105,,206,KONGSNES,American President Lines,45,8,Columbo
20150105,,207,KMP.MARINA PRATAMA,American President Lines,,,Qingdao
20150105,75646,,MARSJA,,110,,Yokohama
20150105,86465,209,SUNG-JIN HOA,Evergreen,28,,Dalian
20150105,,,,K Line,23,,Dalian
20150105,66203,145,JIANGHAITONG19,CMA-CGM,83,,Osaka
20150105,87444,80,,NYK Line,38,,Lianyungang
20150105,,59,LADY MOURA,MSC,105,,Los Angeles
20150105,83459,14,,Maersk,,,São Paulo
20150105,36845,16,,,85,,Hamburg
20150105,40828,186,SVITZER ELLERBY,Maersk,,,Long Beach
20150105,,101,,Hanjin Shipping,,,Panama
20150105,51108,105,SOELOEVEN,American President Lines,54,9,Tanjung Pelepas
20150105,32223,188,ASTRO VERMELHO,OOCL,66,,Singapore
20150105,89775,192,,,333,,Jakarta
20150105,,,ATLOY VIKING,Maersk,,,Kaohsiung
20150105,93996,,VINCENZA GIACALONE,,28,,Busan
20150105,,,SIYA,,80,16,Guangzhou
20150105,,,GEO EXPLORER SURVEY,Hanjin Shipping,,,Manila
20150105,54761,,,Hamburg Süd,85,,Hamburg
20150105,61150,,CRYSTAL GALAXY,,,,Algeciras
20150105,,138,DANPILOT LODSFARTOJ4,,10,,Hong Kong
20150105,41655,184,WADI MAI,American President Lines,23,,Busan
20150105,12202,197,FAXI,COSCO,,,Columbo
20150105,,,,CMA-CGM,84,,Bangkok
20150105,,93,RASTA,Maersk,172,11,Ningbo
20150105,19378,2,ABRO,,,,Yokohama
20150105,,,RIVO,,27,,Kaohsiung
20150105,40904,,OLYMPUS,,190,,Hamburg
20150105,33116,117,URZELA,MSC,,,Tianjin
20150105,61507,125,,COSCO,12,,Shenzhen
20150105,62639,64,,Maersk,224,,São Paulo
20150105,79324,67,LUANDA TIDE,,,,Panama
20150105,30851,130,ZENITH SPIRIT,Evergreen,275,,Hamburg
20150105,36905,140,VENTUROUS,,24,,Yokohama
20150105,91111,,RESCUE ELSA JOHANSSO,Hamburg Süd,,5,Lianyungang
20150105,,6,ALREK,Hamburg Süd,100,,Bangkok
20150105,,189,,,112,,Antwerp
20150105,,47,ICM NAUTICAL 1,Hamburg Süd,32,8,Felixstowe
20150105,18884,,PUERTO ROSARIO,Evergreen,,33,Qingdao
20150105,11124,143,BIG ARON,Maersk,,,Sharjah
20150105,,,SUN BRG APP BUOY C,MSC,88,,Bremen
20150105,59647,165,KARAGOZLER-1,,,,Long Beach
20150105,78481,23,CHENG GONG YOU 8,CMA-CGM,37,9,Osaka
20150105,36574,166,,,,,Osaka
20150105,80620,128,XIN LU SHENG 3,Hamburg Süd,149,,Dubai
20150105,61583,46,,MSC,,,Yingkou
20150105,92924,,SINOKOR ULSAN,China Shipping,120,,Columbo
20150105,16752,,CORSAIR,,,,Panama
20150105,82992,,AURORA BOREAL,,26,,Bangkok
20150105,16882,119,VALO,,,9,Long Beach
20150105,60303,147,FRANCISCO,Mitsui OSK Line,52,,Busan
20150105,76173,48,,,,,Valencia
20150105,56324,57,KRISTIN SCHEPERS,,333,,Osaka
20150105,82508,132,ZWAANTJE,MSC,,,Yingkou
20150105,88058,73,MELBOURNE,OOCL,110,,Shenzhen
20150105,99369,,AYSE NAZ BAYRAKTAR,MSC,,,Valencia
20150105,,69,,MSC,300,,Yingkou
20150106,,211,ANGY R,,,,Mumbai
20150106,37506,,ALMA LIBRE TOO,Evergreen,17,,Osaka
20150106,83459,213,BARA SI-10,Maersk,,,Bremen
20150106,92924,214,SINOKOR ULSAN,Maersk,120,,Istanbul
20150106,89775,215,,MSC,,,Manila
20150106,81625,216,HARMONIE,MSC,,5,Yokohama
20150106,31522,,HMSTC KUKRI,,,,Mumbai
20150106,73952,218,PAGANELLA,Evergreen,,,Busan
20150106,88566,219,STIG HARRY,CMA-CGM,12,,Valencia
20150106,61150,220,CRYSTAL GALAXY,Hanjin Shipping,,,Yokohama
20150106,60118,221,POURQUOIPAS,,,,Kaohsiung
20150106,91111,222,RESCUE ELSA JOHANSSO,Hapag-Lloyd,,,Osaka
20150106,62639,223,LOS LLANITOS,MSC,224,,Felixstowe
20150106,48511,78,NAVE TITAN,American President Lines,184,,Yokohama
20150106,,,,Hapag-Lloyd,100,,Mumbai
20150106,88058,73,MELBOURNE,,,,Hong Kong
20150106,55140,60,,,91,,Xiamen
20150106,17538,,RESCUE KJOPSTAD,Hapag-Lloyd,,,Rotterdam
20150106,35358,87,PEARL SEAWAYS,CMA-CGM,179,,Jakarta
20150106,18012,49,IZBORSK,Hapag-Lloyd,,,Sharjah
20150106,36574,166,HOLTENAU,,27,,Los Angeles
20150106,78481,23,CHENG GONG YOU 8,,,,Bangkok
20150106,80539,82,OCEAN PIERRE JULIEN,Maersk,25,,Ningbo
20150106,11124,143,BIG ARON,Maersk,47,,Busan
20150106,23087,178,HOEGH AMERICA,Maersk,200,,Busan
20150106,36593,27,DON SANTIAGO,Maersk,26,,Guangzhou
20150106,,205,AARDAL,MSC,,,Dalian
20150106,,104,SIYA,,,,Bangkok
20150106,51108,105,SOELOEVEN,,54,,New York
20150106,94205,190,,,,12,Antwerp
20150106,80683,202,,CMA-CGM,20,,New York
20150106,,173,,MSC,,,Kuala Lumpur
20150106,,71,MARIA STAR,,25,,Tianjin
20150106,,,ALTISIGMA,,14,,Bremen
20150106,66079,,KPV KAPAS,,,,Hamburg
20150106,10517,206,KONGSNES,American President Lines,,,Busan
20150106,,154,CAPE FEAR,Maersk,,4,Istanbul
20150106,,138,,Maersk,,,Bremen
20150106,25837,,PAM LEOPARDO,,26,,Hamburg
20150106,,158,TAURUS J,Maersk,155,,Qingdao
20150106,,179,FAIR FALCON,,105,,Shanghai
20150106,61507,,,COSCO,,,Bangkok
20150106,,122,VIVIEN A,COSCO,,,Busan
20150106,,,,Hanjin Shipping,33,,Rotterdam
20150106,54761,,,Hamburg Süd,,,Yokohama
20150106,,21,CEST SI BON I,OOCL,16,,Hamburg
20150106,,,,CMA-CGM,,,Tanjung Pelepas
20150106,16882,119,VALO,,,9,Jakarta
20150106,26394,180,PHILIPPOS A,Hapag-Lloyd,292,,Long Beach
20150106,,194,OLYMPUS,,,,Panama
20150106,82000,185,,Evergreen,146,,Bremen
20150106,,,FORTE,Mitsui OSK Line,91,,Shanghai
20150106,19378,2,,CMA-CGM,,,Hong Kong
20150106,,150,TRUFFALDINO,,89,,Felixstowe
20150106,43169,156,,MSC,42,,Felixstowe
20150106,,169,MACABI,K Line,14,,Antwerp
20150106,91394,,SUN BRG APP BUOY C,MSC,88,,Kuala Lumpur
20150106,54643,69,MAERSK CHICAGO,MSC,300,,Istanbul
20150106,16260,,,Maersk,,,São Paulo
20150106,36564,198,FUTURE PROSPERITY,CMA-CGM,180,,Los Angeles
20150106,59647,,KARAGOZLER-1,,23,,Ho Chi Minh
20150106,50469,,ALREK,Hamburg Süd,100,,Kaohsiung
20150106,10933,131,ZHEGANGHANGXUN1103,Maersk,,,São Paulo
20150106,,38,,,,,Osaka
20150106,,,,,27,,Ningbo
20150106,30851,130,,Evergreen,275,,Qingdao
20150107,,224,ZHEGANGHANGXUN1103,MSC,,,Guangzhou
20150107,36574,225,HOLTENAU,Maersk,27,,Long Beach
20150107,36564,226,FUTURE PROSPERITY,,,,Long Beach
20150107,47350,,TAURUS J,MSC,,,New York
20150107,,228,,,25,7,Jeddah
20150107,75646,229,MARSJA,,,,Yingkou
20150107,12202,230,,,,,Tanjung Pelepas
20150107,99369,,,,,,Panama
20150107,,232,K.DADAYLI,,,,Manila
20150107,77854,233,,American President Lines,,25,Panama
20150107,80620,,,Mitsui OSK Line,149,21,Sharjah
20150107,25819,235,,,72,,Osaka
20150107,62639,,,COSCO,,,Tanjung Pelepas
20150107,41463,142,BELMAR,MSC,249,,Shenzhen
20150107,17573,,,Maersk,,,Yokohama
20150107,,125,WHATEVER,COSCO,,5,Valencia
20150107,,,STELLA,,15,,Los Angeles
20150107,35859,204,PENG CHENG 66,CMA-CGM,49,,Los Angeles
20150107,91394,109,SUN BRG APP BUOY C,MSC,88,,New York
20150107,,209,SUNG-JIN HOA,Evergreen,28,,Tianjin
20150107,,,GUAN HAI ZHAO YANG,MSC,,,Guangzhou
20150107,64131,70,,Yang Ming Marine,,,Panama
20150107,,,PUERTO ROSARIO,Evergreen,,,Algeciras
20150107,16706,,MISENO,CMA-CGM,183,,Osaka
20150107,89775,215,,MSC,333,,Hong Kong
20150107,,62,LINGE,MSC,,,Rotterdam
20150107,,86,,,106,17,Istanbul
20150107,85269,93,,Maersk,,,Yingkou
20150107,54885,,FAIR FALCON,,,,Shenzhen
20150107,41655,184,WADI MAI,American President Lines,23,,Yokohama
20150107,89266,,NARVIK,MSC,135,,Valencia
20150107,93150,133,SHENG XIN 9,MSC,,,Hamburg
